LOCATION,Country,Time,MGER,MFGER,MF SAP,MSAP,mpu,mfpu,fpu,fper,FSAP,FGER
LBR,Liberia,2010,12.11954,9.32247,359025,181624,22011.99333,33469.99792,11458.00459,0.342336579,177401,6.458816236
LBR,Liberia,2011,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
LBR,Liberia,2012,14.26156,11.66735,376118,190477,27164.99164,43883.00347,16718.01183,0.380967812,185641,9.005560103
LBR,Liberia,2013,"""""","""""","""""",194758,"""""","""""","""""","""""","""""",""""""
LBR,Liberia,2014,"""""","""""","""""",199837,"""""","""""","""""","""""","""""",""""""
LBR,Liberia,2015,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
LBR,Liberia,2016,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
LBR,Liberia,2017,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2006,"""""","""""","""""",6875464,"""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2007,"""""","""""","""""",6994871,"""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2008,"""""","""""","""""",7119162,"""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2009,"""""","""""","""""",7251575,"""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2010,10.97252,9.56658,14577680,7393522,811255.6802,1394585.419,583329.7392,0.418281828,7184158,8.119667457
NGA,Nigeria,2011,11.98937,10.16896,14882259,7547118,904851.9014,1513370.965,608519.0634,0.402095109,7335141,8.295942278
NGA,Nigeria,2012,"""""","""""","""""",7699340,"""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2013,"""""","""""","""""",7866193,"""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2014,"""""","""""","""""",8052646,"""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2015,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2016,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
NGA,Nigeria,2017,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
TGO,Togo,2006,"""""",4.97524,564314,282260,"""""",28075.97585,"""""","""""",282054,""""""
TGO,Togo,2007,"""""",5.63135,577162,288829,"""""",32502.01229,"""""","""""",288333,""""""
TGO,Togo,2008,"""""","""""","""""",295536,"""""","""""","""""","""""","""""",""""""
TGO,Togo,2009,"""""","""""","""""",301908,"""""","""""","""""","""""","""""",""""""
TGO,Togo,2010,"""""",9.1147,613942,307687,"""""",55958.97147,"""""","""""",306255,""""""
TGO,Togo,2011,"""""",10.16912,624400,313019,"""""",63495.98528,"""""","""""",311381,""""""
TGO,Togo,2012,16.24344,10.36135,633286,317482,51569.99818,65616.97896,14046.98078,0.214075396,315804,4.448005972
TGO,Togo,2013,"""""",10.75014,642103,321885,"""""",69026.97144,"""""","""""",320218,""""""
TGO,Togo,2014,14.38163,10.20477,651901,326778,46996.00288,66524.99768,19528.9948,0.293558745,325123,6.006648192
TGO,Togo,2015,15.0034,10.72507,663436,332558,49895.00697,71153.97541,21258.96843,0.298774149,330878,6.425017206
TGO,Togo,2016,17.11854,12.26898,676674,339217,58068.99783,83020.99773,24951.99989,0.30055047,337457,7.394127219
TGO,Togo,2017,17.73867,12.89195,691067,346469,61458.99256,89092.01211,27633.01954,0.310162706,344598,8.01891466
